Chinese,pinyin
薛兆熊,Xue Zhaoxiong
郭枚生,Guo Meisheng
许济侯,Xu Jihou
苏妈英,Su Maying
何衍品,He Yanpin
许吉成,Xu Jicheng
谢荔圃,Xie Lipu
谢启山,Xie Qishan
郑荣华,Zheng Ronghua
徐钦三,Xu Qinsan
徐炎泉,Xu Yanquan
刘景香,Liu Jingxiang
姚楠,Yao Nan
胡博渊,Hu Boyuan
王彩凤,Wang Caifeng
薛和娘,Xue Heniang
陈荫娘,Chen Yinniang
薛瑞娘,Xue Ruiniang
翁如水,Weng Rushui
薛有文,Xue Youwen
薛中衍,Xue Zhongyan
薛明记,Xue Mingji
薛佛世,Xue Foshi
薛荣茂,Xue Rongmao
薛神庇,Xue Shenbi
薛坤元,Xue Kunyuan
薛德元,Xue Deyuan
陈水源,Chen Shuiyuan
陈太源,Chen Taiyuan
陈淡娘,Chen Danniang
陈曲娘,Chen Quniang
黄宗成,Huang Zongcheng
曾德璋,Zeng Dezhang
薛长泉,Xue Changquan
薛天林,Xue Tianlin
陈水鲤,Chen Shuili
何衍炳,He Yanbing
林春木,Lin Chunmu
洪高兴,Hong Gaoxing
颜长贵,Yan Changgui
黄典娴,Huang Dianxian
黄思,Huang Si
叶世眉,Ye Shimei
曾莲英,Zeng Lianying
宋庆龄,Song Qingling
宋美龄,Song Meiling
孙士鼎,Sun Shiding
梅春辅,Mei Cunfu
余刚,Yu Gang
杜惹舌,Du Reshe
马丁•戴斯,Mading Daisi
普特法肯•莱茵纳,Putefaken Laiyinna
曾如玉,Zeng Ruyu
刘传乐,Liu Chuanle
章招莲,Zhang Zhaolian
章壬全,Zhang Renquan
钟志海,Zhong Zhihai
章芳源,Zhang Fangyuan
章壬宪,Zhang Renxian
章绸梅,Zhang Choumei
张世笈,Zhang Shiji
黄小品,Huang Xiaopin
陈育民,Chen Yumin
吴岳朋,Wu Yuepeng
邓文光,Deng Wenguang
彭亨,Peng Heng
李略俊,Li Lüejun
张峇丹,Zhang Badan
陈宝娘,Chen Baoniang
张志贤,Zhang Zhixian
何思观,He Siguan
梁允祺,Liang Yunqi
雷亮荣,Lei Liangrong
庄才勋,Zhuang Caixun
邱宗成,Qiu Zongcheng
杨福和,Yang Fuhe
陈允吉,Chen Yunji
林明伦,Lin Minglun
永清,Yongqing
曾纪泽,Zeng Jize
薛福成,Xue Fucheng
刘清玉,Liu Qingyu
刘清坤,Liu Qingkun
何衍茂,He Yanmao
余坤火,Yu Kunhuo
吴庆腾,Wu Qingteng
刘荣丰,Liu Rongfeng
王柘榴,Wang Zheliu
陈亚两,Chen Yaliang
陈若愚,Chen Ruoyu
周润享,Zhou Runxiang
甘清泗,Gan Qingsi
黄志信,Huang Zhixin
林坤扬,Ying Kunyang
余玉英,Yu Yuying
陈国朝,Chen Guochao
丁宏海,Ding Honghai
王水斗,Wang Shuidou
陈芳岁,Chen Fangsui
梅端成,Mei Duancheng
黄良檀,Huang Liangtan
,
,
